Sheet_Name,Protein_name_list,PT_Name,Cxprenylation
Sample_250912_W18-33_TruF_F,W18-33,TruF,C15prenylation
Sample_250912_others_PT16_D,others,PT16,C5prenylation
Sample_250912_others_TruF_D,others,TruF,C5prenylation
Sample_250912_Y_PT8_F,Y,PT8,C15prenylation
Sample_250912_W18-33_PT8_G,W18-33,PT8,C10prenylation
Sample_250912_Y_TruF_F,Y,TruF,C15prenylation
Sample_250912_Y_TruF_G,Y,TruF,C10prenylation
Sample_250920_Y_PT8_F_1,Y,PT8,C15prenylation
Sample_250912_W18-33_PT3_D,W18-33,PT3,C5prenylation
Sample_250912_W1-17_PT3_G,W1-17,PT3,C10prenylation
Sample_250912_others_PT16_G,others,PT16,C10prenylation
Sample_250912_W1-17_TruF_F,W1-17,TruF,C15prenylation
Sample_250912_others_TruF_G,others,TruF,C10prenylation
Sample_250912_W1-17_PT8_G,W1-17,PT8,C10prenylation
Sample_250912_W18-33_PT3_G,W18-33,PT3,C10prenylation
Sample_250912_W1-17_PT16_D,W1-17,PT16,C5prenylation
Sample_250912_W18-33_PT8_D,W18-33,PT8,C5prenylation
Sample_250912_W1-17_PT3_F,W1-17,PT3,C15prenylation
Sample_250920_Y_PT8_F_2,Y,PT8,C15prenylation
Sample_250912_others_PT16_F,others,PT16,C15prenylation
Sample_250912_others_PT3_F,others,PT3,C15prenylation
Sample_250912_W18-33_PT16_D,W18-33,PT16,C5prenylation
Sample_250920_W1-17_PT8_F_1,W1-17,PT8,C15prenylation
Sample_250912_Y_PT16_D,Y,PT16,C5prenylation
Sample_250912_W1-17_PT8_D,W1-17,PT8,C5prenylation
Sample_250912_Y_PT8_D,Y,PT8,C5prenylation
Sample_250912_Y_PT6_G,Y,PT6,C10prenylation
Sample_250912_others_PT6_G,others,PT6,C10prenylation
Sample_250912_W1-17_PT3_D,W1-17,PT3,C5prenylation
Sample_250912_W18-33_PT3_F,W18-33,PT3,C15prenylation
Sample_250912_Y_PT8_G,Y,PT8,C10prenylation
Sample_250912_W1-17_PT6_D,W1-17,PT6,C5prenylation
Sample_250912_others_PT8_G,others,PT8,C10prenylation
Sample_250912_others_PT6_D,others,PT6,C5prenylation
Sample_250912_Y_PT3_D,Y,PT3,C5prenylation
Sample_250912_W18-33_PT6_D,W18-33,PT6,C5prenylation
Sample_250912_W18-33_TruF_G,W18-33,TruF,C10prenylation
Sample_250920_W18-33_PT8_F_2,W18-33,PT8,C15prenylation
Sample_250912_Y_PT6_F,Y,PT6,C15prenylation
Sample_250912_W1-17_TruF_G,W1-17,TruF,C10prenylation
Sample_250912_others_PT8_F,others,PT8,C15prenylation
Sample_250912_Y_PT6_D,Y,PT6,C5prenylation
Sample_250912_others_PT3_G,others,PT3,C10prenylation
Sample_250912_W1-17_PT6_F,W1-17,PT6,C15prenylation
Sample_250912_others_PT6_F,others,PT6,C15prenylation
Sample_250920_W1-17_PT8_F_2,W1-17,PT8,C15prenylation
Sample_250920_others_PT8_F_1,others,PT8,C15prenylation
Sample_250912_W1-17_TruF_D,W1-17,TruF,C5prenylation
Sample_250912_W18-33_PT16_G,W18-33,PT16,C10prenylation
Sample_250912_W1-17_PT8_F,W1-17,PT8,C15prenylation
Sample_250912_others_PT8_D,others,PT8,C5prenylation
Sample_250912_Y_PT3_F,Y,PT3,C15prenylation
Sample_250912_others_TruF_F,others,TruF,C15prenylation
Sample_250912_W18-33_TruF_D,W18-33,TruF,C5prenylation
Sample_250912_Y_TruF_D,Y,TruF,C5prenylation
Sample_250912_W18-33_PT16_F,W18-33,PT16,C15prenylation
Sample_250912_W1-17_PT16_G,W1-17,PT16,C10prenylation
Sample_250920_others_PT8_F_2,others,PT8,C15prenylation
Sample_250912_Y_PT3_G,Y,PT3,C10prenylation
Sample_250912_W1-17_PT16_F,W1-17,PT16,C15prenylation
Sample_250920_W18-33_PT8_F_1,W18-33,PT8,C15prenylation
Sample_250912_W1-17_PT6_G,W1-17,PT6,C10prenylation
Sample_250912_Y_PT16_F,Y,PT16,C15prenylation
Sample_250912_Y_PT16_G,Y,PT16,C10prenylation
Sample_250912_W18-33_PT8_F,W18-33,PT8,C15prenylation
Sample_250912_W18-33_PT6_F,W18-33,PT6,C15prenylation
Sample_250912_W18-33_PT6_G,W18-33,PT6,C10prenylation
Sample_250912_others_PT3_D,others,PT3,C5prenylation
